path,label
rock\rock_070.jpg,rock
rock\rock_025.jpg,rock
rock\rock_067.jpg,rock
rock\rock_030.jpg,rock
rock\rock_078.jpg,rock
rock\rock_046.jpg,rock
rock\rock_014.jpg,rock
rock\rock_000.jpg,rock
rock\rock_044.jpg,rock
rock\rock_040.jpg,rock
rock\rock_026.jpg,rock
rock\rock_098.jpg,rock
rock\rock_049.jpg,rock
rock\rock_019.jpg,rock
rock\rock_035.jpg,rock
rock\rock_079.jpg,rock
rock\rock_074.jpg,rock
rock\rock_071.jpg,rock
rock\rock_042.jpg,rock
rock\rock_036.jpg,rock
rock\rock_093.jpg,rock
rock\rock_023.jpg,rock
rock\rock_041.jpg,rock
rock\rock_008.jpg,rock
rock\rock_062.jpg,rock
paper\paper_038.jpg,paper
paper\paper_008.jpg,paper
paper\paper_052.jpg,paper
paper\paper_016.jpg,paper
paper\paper_057.jpg,paper
paper\paper_018.jpg,paper
paper\paper_040.jpg,paper
paper\paper_051.jpg,paper
paper\paper_032.jpg,paper
paper\paper_098.jpg,paper
paper\paper_091.jpg,paper
paper\paper_027.jpg,paper
paper\paper_055.jpg,paper
paper\paper_033.jpg,paper
paper\paper_086.jpg,paper
paper\paper_056.jpg,paper
paper\paper_096.jpg,paper
paper\paper_063.jpg,paper
paper\paper_004.jpg,paper
paper\paper_045.jpg,paper
paper\paper_088.jpg,paper
paper\paper_046.jpg,paper
paper\paper_092.jpg,paper
paper\paper_005.jpg,paper
paper\paper_030.jpg,paper
scissors\scissors_079.jpg,scissors
scissors\scissors_046.jpg,scissors
scissors\scissors_087.jpg,scissors
scissors\scissors_012.jpg,scissors
scissors\scissors_086.jpg,scissors
scissors\scissors_019.jpg,scissors
scissors\scissors_025.jpg,scissors
scissors\scissors_013.jpg,scissors
scissors\scissors_037.jpg,scissors
scissors\scissors_050.jpg,scissors
scissors\scissors_021.jpg,scissors
scissors\scissors_022.jpg,scissors
scissors\scissors_035.jpg,scissors
scissors\scissors_011.jpg,scissors
scissors\scissors_000.jpg,scissors
scissors\scissors_031.jpg,scissors
scissors\scissors_063.jpg,scissors
scissors\scissors_078.jpg,scissors
scissors\scissors_026.jpg,scissors
scissors\scissors_014.jpg,scissors
scissors\scissors_045.jpg,scissors
scissors\scissors_010.jpg,scissors
scissors\scissors_028.jpg,scissors
scissors\scissors_067.jpg,scissors
scissors\scissors_033.jpg,scissors
